paper,doi,title,year,venue
https://dblp.org/rec/conf/its/KortR02,https://doi.org/10.1007/3-540-47987-2_95,An Affective Module for an Intelligent Tutoring System.,2002,Intelligent Tutoring Systems
https://dblp.org/rec/conf/micai/Barron-EstradaC15,https://doi.org/10.1007/978-3-319-27101-9_12,An Affective and Cognitive Tutoring System for Learning Programming.,2015,MICAI (2)
https://dblp.org/rec/conf/iberamia/GiuffraS12,https://doi.org/10.1007/978-3-642-34654-5_65,An Agent Based Model for Integrating Intelligent Tutoring System and Virtual Learning Environments.,2012,IBERAMIA
https://dblp.org/rec/conf/its/MuldnerBSV10,https://doi.org/10.1007/978-3-642-13388-6_23,An Analysis of Gaming Behaviors in an Intelligent Tutoring System.,2010,Intelligent Tutoring Systems (1)
https://dblp.org/rec/conf/its/Bennane02,https://doi.org/10.1007/3-540-47987-2_100,An Approach of Reinforcement Learning Use in Tutoring Systems.,2002,Intelligent Tutoring Systems
https://dblp.org/rec/conf/iberamia/FaracoRG04,https://doi.org/10.1007/978-3-540-30498-2_89,An Approach of Student Modelling in a Learning Companion System.,2004,IBERAMIA
https://dblp.org/rec/conf/worldcist/CostaROJANT16,https://doi.org/10.1007/978-3-319-31307-8_26,An Approach that Support Multiple Linked Representations Within an Intelligent Tutoring System for Helping Students to Develop Skills on Designing Digital Circuits.,2016,WorldCIST (2)
https://dblp.org/rec/conf/its/Uglev25,https://doi.org/10.1007/978-3-031-98281-1_4,An Approach to Organizing Intelligent Tutoring Systems with Customizable Decision-Making Logic.,2026,ITS (1)
https://dblp.org/rec/conf/its/MerinoK08,https://doi.org/10.1007/978-3-540-69132-7_57,An Architecture for Combining Semantic Web Techniques with Intelligent Tutoring Systems.,2008,Intelligent Tutoring Systems
https://dblp.org/rec/conf/its/CuiR08,https://doi.org/10.1007/978-3-540-69132-7_107,An Authoring Tool That Facilitates the Rapid Development of Dialogue Agents for Intelligent Tutoring Systems.,2008,Intelligent Tutoring Systems
https://dblp.org/rec/conf/its/MathanK02,https://doi.org/10.1007/3-540-47987-2_37,An Empirical Assessment of Comprehension Fostering Features in an Intelligent Tutoring System.,2002,Intelligent Tutoring Systems
https://dblp.org/rec/conf/aied/DianaSK18,https://doi.org/10.1007/978-3-319-93843-1_7,An Instructional Factors Analysis of an Online Logical Fallacy Tutoring System.,2018,AIED (1)
https://dblp.org/rec/conf/aied/HarleyLFH15,https://doi.org/10.1007/978-3-319-19773-9_75,An Integrated Emotion-Aware Framework for Intelligent Tutoring Systems.,2015,AIED
https://dblp.org/rec/conf/its/WangG92,https://doi.org/10.1007/3-540-55606-0_47,An Intelligent Language Tutoring System for Handling Errors Caused by Transfer.,1992,Intelligent Tutoring Systems
https://dblp.org/rec/conf/um/Kalaydjiev01,https://doi.org/10.1007/3-540-44566-8_46,An Intelligent Pedagogical Agent in CALL.,2001,User Modeling
https://dblp.org/rec/conf/its/MartinsC04,https://doi.org/10.1007/978-3-540-30139-4_54,"An Intelligent Tutoring System Based on Self-Organizing Maps ? Design, Implementation and Evaluation.",2004,Intelligent Tutoring Systems
https://dblp.org/rec/conf/bics/LiangX13,https://doi.org/10.1007/978-3-642-38786-9_40,An Intelligent Tutoring System Based on Speech Assessment for Spoken English Learning in China.,2013,BICS
https://dblp.org/rec/conf/its/LeeCC06,https://doi.org/10.1007/11774303_98,An Intelligent Tutoring System Based on a Multi-modal Environment for the 300-Certification Program of English Conversation.,2006,Intelligent Tutoring Systems
https://dblp.org/rec/conf/paams/CondeILEIIGER10,https://doi.org/10.1007/978-3-642-12433-4_75,An Intelligent Tutoring System Oriented to the Integration of People with Intellectual Disabilities.,2010,PAAMS (Special Sessions and Workshops)
https://dblp.org/rec/conf/its/RamandalahyVB10,https://doi.org/10.1007/978-3-642-13437-1_84,An Intelligent Tutoring System Supporting Metacognition and Sharing Learners' Experiences.,2010,Intelligent Tutoring Systems (2)
https://dblp.org/rec/conf/tools/PietroD19,https://doi.org/10.1007/978-3-030-29852-4_18,An Intelligent Tutoring System Tool Combining Machine Learning and Gamification in Education.,2019,TOOLS
https://dblp.org/rec/conf/aied/Dickler19,https://doi.org/10.1007/978-3-030-23207-8_61,An Intelligent Tutoring System and Teacher Dashboard to Support Mathematizing During Science Inquiry.,2019,AIED (2)
https://dblp.org/rec/conf/ki/PoeckT92,https://doi.org/10.1007/BFB0019006,An Intelligent Tutoring System for Classification Problem Solving.,1993,GWAI
https://dblp.org/rec/conf/cdve/KaklauskasZD06,https://doi.org/10.1007/11863649_22,An Intelligent Tutoring System for Construction and Real Estate Management Master Degree Studies.,2006,CDVE
https://dblp.org/rec/conf/csedu/PaladinesR19,https://doi.org/10.5220/0007712203070314,An Intelligent Tutoring System for Procedural Training with Natural Language Interaction.,2019,CSEDU (2)
https://dblp.org/rec/conf/kes/OzdemirA00,https://doi.org/10.1109/KES.2000.884176,An intelligent tutoring system for student guidance in Web-based courses.,2000,KES
https://dblp.org/rec/conf/its/DevedzicD98,https://doi.org/10.1007/3-540-68716-5_57,An Intelligent Tutoring System for Teaching Formal Languages.,1998,Intelligent Tutoring Systems
https://dblp.org/rec/conf/ieaaie/ChenCCHLH09,https://doi.org/10.1007/978-3-642-02568-6_36,An Intelligent Tutoring System of Chinese Chess.,2009,IEA/AIE
https://dblp.org/rec/conf/ectel/GorrostietaLLC13,https://doi.org/10.1007/978-3-642-40814-4_55,An Intelligent Tutoring System to Evaluate and Advise on Lexical Richness in Students Writings.,2013,EC-TEL
https://dblp.org/rec/conf/aied/CarterB13,https://doi.org/10.1007/978-3-642-39112-5_134,An Intelligent Tutoring System to Teach Debugging.,2013,AIED
https://dblp.org/rec/conf/iberamia/Barron-EstradaZVRP12,https://doi.org/10.1007/978-3-642-34654-5_66,An Intelligent and Affective Tutoring System within a Social Network for Learning Mathematics.,2012,IBERAMIA
https://dblp.org/rec/conf/interact/SinhaD17,https://doi.org/10.1007/978-3-319-67684-5_26,An Interactive Elementary Tutoring System for Oral Health Education Using an Augmented Approach.,2017,INTERACT (2)
https://dblp.org/rec/conf/its/Dahlan98,https://doi.org/10.1007/3-540-68716-5_68,An Interactive Intelligent Tutoring System with Tutorials Generation and English-Malay Translation Abilities.,1998,Intelligent Tutoring Systems
https://dblp.org/rec/conf/csedu/HaendlerNS19,https://doi.org/10.5220/0007801101770188,An Interactive Tutoring System for Training Software Refactoring.,2019,CSEDU (2)
https://dblp.org/rec/conf/its/CrozatT00,https://doi.org/10.1007/3-540-45108-0_74,An Ontological Approach for Design and Evaluation of Tutoring Systems.,2000,Intelligent Tutoring Systems
https://dblp.org/rec/conf/ifip12/PanagiotopoulosKPK12,https://doi.org/10.1007/978-3-642-33409-2_31,An Ontology-Based Model for Student Representation in Intelligent Tutoring Systems for Distance Learning.,2012,AIAI (1)
https://dblp.org/rec/journals/pai/VazquezROOS16,https://doi.org/10.1007/S13748-015-0074-9,An approach to academic performance prediction in tutoring systems based on fuzzy deformable prototypes.,2016,Prog. Artif. Intell.
https://dblp.org/rec/journals/eait/RohilMP25,https://doi.org/10.1007/S10639-024-12951-1,An architecture to intertwine augmented reality and intelligent tutoring systems: towards realizing technology-enabled enhanced learning.,2025,Educ. Inf. Technol.
https://dblp.org/rec/journals/mta/DuttA24,https://doi.org/10.1007/S11042-024-20052-X,An intelligent HCI based tutoring system for child-centric learning environment.,2024,Multim. Tools Appl.
https://dblp.org/rec/journals/eait/DuttAK22,https://doi.org/10.1007/S10639-021-10713-X,An intelligent tutoring system architecture based on fuzzy neural network (FNN) for special education of learning disabled learners.,2022,Educ. Inf. Technol.
https://dblp.org/rec/journals/ce/SongHTK97,https://doi.org/10.1016/S0360-1315(97)00003-1,An intelligent tutoring system for introductory C language course.,1997,Comput. Educ.
https://dblp.org/rec/journals/soco/ChandrasekharK21,https://doi.org/10.1007/S00500-021-06396-8,An intelligent tutoring system for new student model using fuzzy soft set-based hybrid optimization algorithm.,2021,Soft Comput.
https://dblp.org/rec/conf/iscas/Lian11,https://doi.org/10.1109/ISCAS.2011.5937782,An online adaptive tutoring system for design-centric courses.,2011,ISCAS
https://dblp.org/rec/journals/nca/AliAE25,https://doi.org/10.1007/S00521-025-11506-W,An ontology-based adaptive tutoring system for learning business english idioms.,2025,Neural Comput. Appl.
https://dblp.org/rec/conf/hci/DeverWA24,https://doi.org/10.1007/978-3-031-60609-0_9,Analytical Approaches for Examining Learners' Emerging Self-regulated Learning Complex Behaviors with an Intelligent Tutoring System.,2024,HCI (44)
https://dblp.org/rec/conf/aied/NyeKTCSAG17,https://doi.org/10.1007/978-3-319-61425-0_60,Analyzing Learner Affect in a Scenario-Based Intelligent Tutoring System.,2017,AIED
https://dblp.org/rec/conf/its/MerinoKM14,https://doi.org/10.1007/978-3-319-07221-0_98,Analyzing Learning Gains in a Competition Intelligent Tutoring System.,2014,Intelligent Tutoring Systems
https://dblp.org/rec/conf/its/CorbettMSH00,https://doi.org/10.1007/3-540-45108-0_35,Analyzing and Generating Mathematical Models: An Algebra II Cognitive Tutor Design Study.,2000,Intelligent Tutoring Systems
https://dblp.org/rec/conf/its/Rubio-Fernandez19,https://doi.org/10.1007/978-3-030-22244-4_5,Analyzing the Group Formation Process in Intelligent Tutoring Systems.,2019,ITS
https://dblp.org/rec/conf/artsit/MukanovaAMCHMZ23,https://doi.org/10.1007/978-3-031-55312-7_20,Animated Pedagogical Agents Performing Affective Gestures Extracted from the GEMEP Dataset: Can People Recognize Their Emotions?,2024,ArtsIT (2)
https://dblp.org/rec/conf/egice/Gajewski06,https://doi.org/10.1007/11888598_25,Animations and Simulations of Engineering Software: Towards Intelligent Tutoring Systems.,2006,EG-ICE
https://dblp.org/rec/conf/nbis/EnchevaT07a,https://doi.org/10.1007/978-3-540-74573-0_50,Application of Default Logic in an Intelligent Tutoring System.,2007,NBiS
https://dblp.org/rec/conf/cdve/EnchevaTS07,https://doi.org/10.1007/978-3-540-74780-2_51,Application of Paraconsistent Logic in an Intelligent Tutoring System.,2007,CDVE
https://dblp.org/rec/conf/aied/NilakantM05,,Applications of Data Mining in Constraint-based Intelligent Tutoring Systems.,2005,AIED
https://dblp.org/rec/conf/its/JarvisNH04,https://doi.org/10.1007/978-3-540-30139-4_51,Applying Machine Learning Techniques to Rule Generation in Intelligent Tutoring Systems.,2004,Intelligent Tutoring Systems
https://dblp.org/rec/conf/its/DevedzicH02,https://doi.org/10.1007/3-540-47987-2_13,Architectural Patterns in Pedagogical Agents.,2002,Intelligent Tutoring Systems
https://dblp.org/rec/conf/iva/TrevorsDA11,https://doi.org/10.1007/978-3-642-23974-8_69,Are Intelligent Pedagogical Agents Effective in Fostering Students' Note-Taking While Learning with a Multi-agent Adaptive Hypermedia Environment?,2011,IVA
https://dblp.org/rec/conf/cepes/Specht89,https://doi.org/10.1007/3-540-52952-7_24,Are Intelligent Tutoring Systems Useful for Learning in Technical Environments?,1990,Artificial Intelligence in Higher Education
https://dblp.org/rec/conf/its/AzevedoMTMMG16,https://doi.org/10.1007/978-3-319-39583-8_19,Are Pedagogical Agents' External Regulation Effective in Fostering Learning with Intelligent Tutoring Systems?,2016,ITS
https://dblp.org/rec/conf/its/MartinATMMG16,https://doi.org/10.1007/978-3-319-39583-8_29,Are There Benefits of Using Multiple Pedagogical Agents to Support and Foster Self-Regulated Learning in an Intelligent Tutoring System?,2016,ITS
https://dblp.org/rec/journals/ijst/PugalenthiCRBK21,https://doi.org/10.1007/S10772-020-09773-0,Artificial learning companionusing machine learning and natural language processing.,2021,Int. J. Speech Technol.
https://dblp.org/rec/conf/aied/CarmonHG23,https://doi.org/10.1007/978-3-031-36336-8_19,Assessment in Conversational Intelligent Tutoring Systems: Are Contextual Embeddings Really Better?,2023,AIED (Posters/Late Breaking Results/...)
https://dblp.org/rec/conf/its/JoynerG14,https://doi.org/10.1007/978-3-319-07221-0_85,Attitudinal Gains from Engagement with Metacognitive Tutors in an Exploratory Learning Environment.,2014,Intelligent Tutoring Systems
https://dblp.org/rec/conf/ectel/DuongTrungKK23,https://doi.org/10.1007/978-3-031-42682-7_65,Augmented Intelligence in Tutoring Systems: A Case Study in Real-Time Pose Tracking to Enhance the Self-learning of Fitness Exercises.,2023,EC-TEL
https://dblp.org/rec/conf/aied/TenorioIB22,https://doi.org/10.1007/978-3-031-11647-6_79,Authoring Inner Loops of Intelligent Tutoring Systems Using Collective Intelligence.,2022,AIED (2)
https://dblp.org/rec/conf/icwl/Zatarain-CabadaBZV07,https://doi.org/10.1007/978-3-540-78139-4_7,Authoring Learning Objects for Web-Based Intelligent Tutoring Systems.,2008,ICWL
https://dblp.org/rec/conf/its/Zatarain-CabadaBSG08,https://doi.org/10.1007/978-3-540-69132-7_97,Authoring Mobile Intelligent Tutoring Systems.,2008,Intelligent Tutoring Systems
https://dblp.org/rec/conf/micai/Zatarain-CabadaBSOUG08,https://doi.org/10.1007/978-3-540-88636-5_74,Authoring Neuro-fuzzy Tutoring Systems for M and E-Learning.,2008,MICAI
https://dblp.org/rec/conf/its/OlsenBARSR14,https://doi.org/10.1007/978-3-319-07221-0_66,Authoring Tools for Collaborative Intelligent Tutoring System Environments.,2014,Intelligent Tutoring Systems
https://dblp.org/rec/conf/aied/ChengCLCHG13,https://doi.org/10.1007/978-3-642-39112-5_149,AutoTutor 2013: Conversation-Based Online Intelligent Tutoring System with Rich Media (Interactive Event).,2013,AIED
https://dblp.org/rec/journals/ijst/RajanCGPGG01,https://doi.org/10.1023/A%3A1017319110294,AutoTutor: Incorporating Back-Channel Feedback and Other Human-Like Conversational Behaviors into an Intelligent Tutoring System.,2001,Int. J. Speech Technol.
https://dblp.org/rec/conf/hci/AttardD23,https://doi.org/10.1007/978-3-031-35998-9_27,Automated Content Generation for Intelligent Tutoring Systems.,2023,HCI (45)
https://dblp.org/rec/conf/jckbse/MougiakouPV18,https://doi.org/10.1007/978-3-319-97679-2_24,Automated Decision Making and Personal Data Protection in Intelligent Tutoring Systems: Design Guidelines.,2019,JCKBSE
https://dblp.org/rec/conf/its/BanjadeOR23,https://doi.org/10.1007/978-3-031-32883-1_11,Automated Extraction of Domain Models from Textbook Indexes for Developing Intelligent Tutoring Systems.,2023,ITS
https://dblp.org/rec/conf/csedu/GuidPM19,https://doi.org/10.5220/0007717600700077,Automated Feedback Generation for Argument-Based Intelligent Tutoring Systems.,2019,CSEDU (1)
https://dblp.org/rec/journals/tlt/KappagantulaAWP20,https://doi.org/10.1109/TLT.2019.2922134,Automatic Deictic Gestures for Animated Pedagogical Agents.,2020,IEEE Trans. Learn. Technol.
https://dblp.org/rec/journals/tlt/CetintasSXH10,https://doi.org/10.1109/TLT.2009.44,Automatic Detection of Off-Task Behaviors in Intelligent Tutoring Systems with Machine Learning Techniques.,2010,IEEE Trans. Learn. Technol.
https://dblp.org/rec/conf/its/Bader-NatalP06,https://doi.org/10.1007/11774303_72,BEEweb: A Multi-domain Platform for Reciprocal Peer-Driven Tutoring Systems.,2006,Intelligent Tutoring Systems
https://dblp.org/rec/conf/aied/BrosnihanWMKMDTA25,https://doi.org/10.1007/978-3-031-98417-4_15,Balancing Emotional and Motivational Self-Regulatory Processes During Complex Learning with Intelligent Tutoring Systems.,2025,AIED (2)
https://dblp.org/rec/conf/csia/Li20d,https://doi.org/10.1007/978-3-030-43309-3_80,Based on the Artificial Intelligence Technology in Higher Vocational English Major Students After-School Tutoring System Design Research.,2020,CSIA (2)
https://dblp.org/rec/conf/its/GreenEHFA16,https://doi.org/10.1007/978-3-319-39583-8_46,Behavior and Learning of Students Using Worked-Out Examples in a Tutoring System.,2016,ITS
https://dblp.org/rec/journals/annals/Kelkar22,https://doi.org/10.1109/MAHC.2022.3143816,Between AI and Learning Science: The Evolution and Commercialization of Intelligent Tutoring Systems.,2022,IEEE Ann. Hist. Comput.
https://dblp.org/rec/conf/epia/AzeiteiroL19,https://doi.org/10.1007/978-3-030-30241-2_2,Between Clones and Snow-Flakes: Personalization in Intelligent Tutoring Systems.,2019,EPIA (1)
https://dblp.org/rec/conf/its/JungV08,https://doi.org/10.1007/978-3-540-69132-7_101,Bi-directional Search for Bugs: A Tool for Accelerating Knowledge Acquisition for Equation-Based Tutoring Systems.,2008,Intelligent Tutoring Systems
https://dblp.org/rec/conf/awic/NouhNNS07,https://doi.org/10.1007/978-3-540-72575-6_43,BiTutor-A Component Based Architecture for Developing Web Based Intelligent Tutoring System.,2007,AWIC
https://dblp.org/rec/conf/its/RauAR10,https://doi.org/10.1007/978-3-642-13388-6_45,Blocked versus Interleaved Practice with Multiple Representations in an Intelligent Tutoring System for Fractions.,2010,Intelligent Tutoring Systems (1)
https://dblp.org/rec/conf/aied/ChenMLAMALCM25,https://doi.org/10.1007/978-3-031-98462-4_22,Bridging the AI Adoption Gap: Designing an Interactive Pedagogical Agent for Higher Education Instructors.,2025,AIED (5)
https://dblp.org/rec/conf/dexa/Kaplan94,https://doi.org/10.1007/3-540-58435-8_214,Bridging the Gap between Knowledge Engineering and Efficient Implementation in an Intelligent Tutoring System.,1994,DEXA
https://dblp.org/rec/conf/aied/PanaiteDJBDMT18,https://doi.org/10.1007/978-3-319-93843-1_30,Bring It on! Challenges Encountered While Building a Comprehensive Tutoring System Using ReaderBench.,2018,AIED (1)
https://dblp.org/rec/conf/aied/RayG13,,Bringing Authoring Tools for Intelligent Tutoring Systems and Serious Games Closer Together: Integrating GIFT with the Unity Game Engine.,2013,AIED Workshops
https://dblp.org/rec/conf/kes/Marciniak14,https://doi.org/10.1016/J.PROCS.2014.08.135,Building Intelligent Tutoring Systems Immersed in Repositories of E-learning Content.,2014,KES
https://dblp.org/rec/journals/tlt/ChengCHWCL09,https://doi.org/10.1109/TLT.2009.18,Building a General Purpose Pedagogical Agent in a Web-Based Multimedia Clinical Simulation System for Medical Education.,2009,IEEE Trans. Learn. Technol.
https://dblp.org/rec/conf/its/Picard06,https://doi.org/10.1007/11774303_108,Building an Affective Learning Companion.,2006,Intelligent Tutoring Systems
https://dblp.org/rec/conf/micai/HernandezSA08,https://doi.org/10.1007/978-3-540-88636-5_71,Building an Affective Model for Intelligent Tutoring Systems with Base on Teachers' Expertise.,2008,MICAI
https://dblp.org/rec/conf/csedu/GuidMBSB13,https://doi.org/10.5220/0004389102630266,Building an Intelligent Tutoring System for Chess Endgames.,2013,CSEDU
https://dblp.org/rec/conf/iberamia/Barron-EstradaZCLG10,https://doi.org/10.1007/978-3-642-16952-6_1,Building and Assessing Intelligent Tutoring Systems with an e-Learning 2.0 Authoring System.,2010,IBERAMIA
https://dblp.org/rec/conf/its/MajorR92,https://doi.org/10.1007/3-540-55606-0_62,COCA: A Shell for Intelligent Tutoring Systems.,1992,Intelligent Tutoring Systems
https://dblp.org/rec/conf/kes/BaghaeiM05,https://doi.org/10.1007/11554028_64,COLLECT-UML: Supporting Individual and Collaborative Learning of UML Class Diagrams in a Constraint-Based Intelligent Tutoring System.,2005,KES (4)
